"B=0.5,beta=0.5,T=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num of iters,i/alpha,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
9,0.6,0.511705686,0.622073579,0.702341137,0.772575251,0.83277592,0.882943144,0.933110368,0.983277592,1.023411371,1.063545151,1.10367893,1.143812709,1.183946488,1.224080268,1.264214047,1.304347826,1.344481605,1.384615385,1.424749164,1.464882943,1.505016722,1.545150502,1.585284281,1.62541806,1.675585284,1.715719064,1.765886288,1.816053512,1.866220736,1.91638796,1.966555184,2.026755853,2.086956522,2.147157191,2.217391304,2.287625418,2.367892977,2.448160535,2.538461538,2.638795987,2.74916388,2.879598662,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
12,0.8,0.451505017,0.551839465,0.632107023,0.692307692,0.742474916,0.79264214,0.842809365,0.882943144,0.923076923,0.973244147,1.013377926,1.053511706,1.08361204,1.123745819,1.163879599,1.204013378,1.244147157,1.284280936,1.324414716,1.37458194,1.414715719,1.454849498,1.505016722,1.555183946,1.595317726,1.655518395,1.705685619,1.755852843,1.816053512,1.876254181,1.936454849,2.006688963,2.076923077,2.157190635,2.237458194,2.317725753,2.408026756,2.508361204,2.618729097,2.739130435,2.879598662,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
22,1.2,0.371237458,0.451505017,0.52173913,0.571906355,0.622073579,0.662207358,0.712374582,0.752508361,0.79264214,0.83277592,0.872909699,0.913043478,0.953177258,0.993311037,1.033444816,1.073578595,1.113712375,1.163879599,1.204013378,1.254180602,1.304347826,1.364548495,1.414715719,1.474916388,1.535117057,1.605351171,1.675585284,1.745819398,1.826086957,1.91638796,2.006688963,2.107023411,2.217391304,2.327759197,2.45819398,2.608695652,2.769230769,2.949832776,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"B = 0.5, T = 3, i = 0.8, beta = 0.5",beta \ alpha,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1.0
num iters = 12,0.5,0.45150501672240806,0.5518394648829431,0.6321070234113713,0.6923076923076923,0.7424749163879599,0.7926421404682275,0.842809364548495,0.8829431438127091,0.9230769230769231,0.9732441471571907,1.0133779264214047,1.0535117056856187,1.0836120401337792,1.1237458193979935,1.1638795986622075,1.2040133779264215,1.2441471571906355,1.2842809364548495,1.3244147157190636,1.374581939799331,1.414715719063545,1.4548494983277593,1.5050167224080269,1.5551839464882944,1.5953177257525084,1.6555183946488294,1.705685618729097,1.7558528428093645,1.8160535117056857,1.8762541806020068,1.9364548494983278,2.0066889632107023,2.076923076923077,2.157190635451505,2.237458193979933,2.317725752508361,2.408026755852843,2.508361204013378,2.618729096989967,2.739130434782609,2.879598662207358,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0

"B=0.5,beta=0.5,T=3"
num of iters,i/alpha,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1.0

"B=0.5,beta=0.5,T=3"
num of iters,i/alpha,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1.0
25,0.6,0.10033444816053512,0.1505016722408027,0.1806020066889632,0.21070234113712374,0.2408026755852843,0.2709030100334448,0.3010033444816054,0.3210702341137124,0.3511705685618729,0.37123745819397996,0.4013377926421405,0.4214046822742475,0.44147157190635455,0.47157190635451507,0.4916387959866221,0.5117056856187291,0.5418060200668896,0.5618729096989967,0.5819397993311037,0.6120401337792643,0.6321070234113713,0.6622073578595318,0.6822742474916388,0.7123745819397993,0.7324414715719064,0.7625418060200669,0.7926421404682275,0.822742474916388,0.842809364548495,0.8729096989966555,0.9130434782608696,0.9431438127090301,0.9732441471571907,1.0133779264214047,1.0434782608695652,1.0836120401337792,1.1237458193979935,1.173913043478261,1.214046822742475,1.2642140468227425,1.3244147157190636,1.3846153846153846,1.4548494983277593,1.5250836120401339,1.6153846153846154,1.725752508361204,1.8561872909698998,2.076923076923077,2.5585284280936453,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0

"B=0.5,beta=0.5,T=3"
num of iters,i/alpha,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1.0

"B=0.5,beta=0.5,T=3"
num of iters,i/alpha,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1.0
25,0.6,0.10033444816053512,0.1505016722408027,0.1806020066889632,0.21070234113712374,0.2408026755852843,0.2709030100334448,0.3010033444816054,0.3210702341137124,0.3511705685618729,0.37123745819397996,0.4013377926421405,0.4214046822742475,0.44147157190635455,0.47157190635451507,0.4916387959866221,0.5117056856187291,0.5418060200668896,0.5618729096989967,0.5819397993311037,0.6120401337792643,0.6321070234113713,0.6622073578595318,0.6822742474916388,0.7123745819397993,0.7324414715719064,0.7625418060200669,0.7926421404682275,0.822742474916388,0.842809364548495,0.8729096989966555,0.9130434782608696,0.9431438127090301,0.9732441471571907,1.0133779264214047,1.0434782608695652,1.0836120401337792,1.1237458193979935,1.173913043478261,1.214046822742475,1.2642140468227425,1.3244147157190636,1.3846153846153846,1.4548494983277593,1.5250836120401339,1.6153846153846154,1.725752508361204,1.8561872909698998,2.076923076923077,2.5585284280936453,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
